family,term,public_baseline_candidate,public_recovered_count,public_recovered_examples
classical_ml_methods,linear regression,True,0,
classical_ml_methods,logistic regression,True,0,
model_development_basics,azure machine learning,True,0,
model_development_basics,deep learning networks,True,0,
model_development_basics,machine learning - python,True,0,
model_development_basics,machine learning algorithms,True,0,
model_development_basics,machine learning aml python,True,0,
model_development_basics,machine learning jda software,True,0,
model_development_basics,machine learning ml,True,0,
model_development_basics,machine learning models,True,0,
model_development_basics,python - machine learning,True,0,
model_development_basics,spark - machine learning,True,0,
model_development_basics,statistical/machine learning algorithms,True,0,
